CO,AB,FACID,DIS,FNAME,FSTREET,FCITY,FZIP,FSIC,COID,DISN,CHAPIS,CERR_CODE,TOGT,ROGT,COT,NOXT,SOXT,PMT,PM10T,lat,lon
10,SJV,7578,SJU,CITY OF FRESNO FIRE DEPARTMENT,2510 N POLK AVE,FRESNO,93722,9224,FRE,SAN JOAQUIN VALLEY APCD,,,.00005941946499715424018212862834376778599886,.0000522,.000365,.00354,.00000532,.00004262295081967213114754098360655737704918,.0000416,36.77222,-119.88841
10,SJV,7673,SJU,CITY OF FRESNO FIRE DEPARTMENT,911 H ST,FRESNO,93721,9224,FRE,SAN JOAQUIN VALLEY APCD,,,.00008228799089356858281161070005691519635743,.00007229,.0003803,.0009931,.0000019382,.00005076844262295081967213114754098360655738,.00004955,36.73191,-119.79196
10,SJV,520,SJU,CITY OF FRESNO FLEET MANAGEMENT DIVISION,1910 E UNIVERSITY,FRESNO,93703,4941,FRE,SAN JOAQUIN VALLEY APCD,,,.04994,.04994,0,0,0,0,0,36.7667650362033,-119.788051948991
10,SJV,8040,SJU,CITY OF FRESNO POLICE DEPARTMENT,6375 W CENTRAL AVE,FRESNO,93706,9199,FRE,SAN JOAQUIN VALLEY APCD,,,.00004393853158793397837222538417757541263517,.0000386,.000619,.00581,.00000987,.00009928278688524590163934426229508196721312,.0000969,36.6772461805693,-119.898338535088
10,SJV,1902,SJU,CITY OF FRESNO WATER DIVISION,5130 E LANE - PS82,FRESNO,93727,4941,FRE,SAN JOAQUIN VALLEY APCD,,,7.17677715359828141783029001074113856069,.668157953,.935850905,.192351059,.00496,.0349319859154929577464788732394366197183,.034722394,36.7322268960061,-119.721782519401
10,SJV,1933,SJU,CITY OF FRESNO WATER DIVISION,5740 E CALIFORNIA,FRESNO,93727,9199,FRE,SAN JOAQUIN VALLEY APCD,,,0,0,0,0,0,0,0,36.722015037496,-119.698912450362
10,SJV,2079,SJU,CITY OF FRESNO WATER DIVISION,"2011 E OLIVE AVE, #10-A",FRESNO,93703,9199,FRE,SAN JOAQUIN VALLEY APCD,,,11.36075241675617615467239527389903329753,1.05768605,1.496625638,.308491707,.00793,.0558637112676056338028169014084507042254,.055528529,36.75762,-119.78695
10,SJV,2080,SJU,CITY OF FRESNO WATER DIVISION,821 P ST,FRESNO,93721,9199,FRE,SAN JOAQUIN VALLEY APCD,,,0,0,0,0,0,0,0,36.73626,-119.78259
10,SJV,3152,SJU,CITY OF FRESNO WATER DIVISION,1590 N PEACH AVE,FRESNO,,4941,FRE,SAN JOAQUIN VALLEY APCD,,,.004745762711864406779661016949152542372881,.0042,0,0,0,0,0,36.76461,-119.71798
10,SJV,3202,SJU,CITY OF FRESNO WATER DIVISION,4707 E DAKOTA AVE,FRESNO,93726,9199,FRE,SAN JOAQUIN VALLEY APCD,,,0,0,0,0,0,0,0,36.78718,-119.7404
10,SJV,3203,SJU,CITY OF FRESNO WATER DIVISION,7229 N HOWARD AVE,FRESNO,93726,9199,FRE,SAN JOAQUIN VALLEY APCD,,,0,0,0,0,0,0,0,36.6210471615733,-120.025727323085
10,SJV,3204,SJU,CITY OF FRESNO WATER DIVISION,2224 N BRAWLEY,FRESNO,93722,4941,FRE,SAN JOAQUIN VALLEY APCD,,,0,0,0,0,0,0,0,36.76829,-119.86207
10,SJV,3256,SJU,CITY OF FRESNO WATER DIVISION,209 W SANTA ANA,FRESNO,93703,4941,FRE,SAN JOAQUIN VALLEY APCD,,,.001229368241320432555492316448491747296528,.00108,.00531,.0352,.0000392,.001106557377049180327868852459016393442623,.00108,36.80448,-119.81428
10,SJV,3257,SJU,CITY OF FRESNO WATER DIVISION,3905 E MONO,FRESNO,93703,4941,FRE,SAN JOAQUIN VALLEY APCD,,,.001229368241320432555492316448491747296528,.00108,.00531,.0352,.0000392,.001106557377049180327868852459016393442623,.00108,36.7372,-119.75871
10,SJV,3258,SJU,CITY OF FRESNO WATER DIVISION,5540 E AIRWAYS BLVD,FRESNO,93703,4941,FRE,SAN JOAQUIN VALLEY APCD,,,.001229368241320432555492316448491747296528,.00108,.00531,.0352,.0000392,.001106557377049180327868852459016393442623,.00108,36.779335034083,-119.701385
10,SJV,3259,SJU,CITY OF FRESNO WATER DIVISION,1404 E SIERRA,FRESNO,93703,4941,FRE,SAN JOAQUIN VALLEY APCD,,,.001229368241320432555492316448491747296528,.00108,.00531,.0352,.0000392,.001106557377049180327868852459016393442623,.00108,36.83047,-119.76298
10,SJV,3260,SJU,CITY OF FRESNO WATER DIVISION,4549 N FRESNO ST,FRESNO,93703,4941,FRE,SAN JOAQUIN VALLEY APCD,,,.001229368241320432555492316448491747296528,.00108,.00531,.0352,.0000392,.001106557377049180327868852459016393442623,.00108,36.8000942358047,-119.781446156269
10,SJV,3261,SJU,CITY OF FRESNO WATER DIVISION,4064 E TULARE AVE,FRESNO,93703,9199,FRE,SAN JOAQUIN VALLEY APCD,,,.001229368241320432555492316448491747296528,.00108,.00531,.0352,.0000392,.001106557377049180327868852459016393442623,.00108,36.74302,-119.75698
10,SJV,3262,SJU,CITY OF FRESNO WATER DIVISION,3755 N CEDAR AVE,FRESNO,93703,4941,FRE,SAN JOAQUIN VALLEY APCD,,,.001229368241320432555492316448491747296528,.00108,.00531,.0352,.0000392,.001106557377049180327868852459016393442623,.00108,36.785787330156,-119.754478091136
10,SJV,3263,SJU,CITY OF FRESNO WATER DIVISION,5773 N MARIPOSA,FRESNO,93710,9199,FRE,SAN JOAQUIN VALLEY APCD,,,.001229368241320432555492316448491747296528,.00108,.00531,.0352,.0000392,.001106557377049180327868852459016393442623,.00108,36.8225,-119.77821
10,SJV,3264,SJU,CITY OF FRESNO WATER DIVISION,4105 N WEST AVE,FRESNO,93705,9199,FRE,SAN JOAQUIN VALLEY APCD,,,.001229368241320432555492316448491747296528,.00108,.00531,.0352,.0000392,.001106557377049180327868852459016393442623,.00108,36.7919878008029,-119.826495954149
10,SJV,3265,SJU,CITY OF FRESNO WATER DIVISION,10751 N MILLBROOK,FRESNO,93730,9199,FRE,SAN JOAQUIN VALLEY APCD,,,.001229368241320432555492316448491747296528,.00108,.00531,.0352,.0000392,.001106557377049180327868852459016393442623,.00108,36.89294,-119.76601
10,SJV,3266,SJU,CITY OF FRESNO WATER DIVISION,7410 N JACKSON,FRESNO,93703,9199,FRE,SAN JOAQUIN VALLEY APCD,,,.001229368241320432555492316448491747296528,.00108,.00531,.0352,.0000392,.001106557377049180327868852459016393442623,.00108,36.84317,-119.74734
10,SJV,3267,SJU,CITY OF FRESNO WATER DIVISION,2834 W FIR,FRESNO,93703,9199,FRE,SAN JOAQUIN VALLEY APCD,,,.001229368241320432555492316448491747296528,.00108,.00531,.0352,.0000392,.001106557377049180327868852459016393442623,.00108,36.8394,-119.84538
10,SJV,3268,SJU,CITY OF FRESNO WATER DIVISION,8065 N FRIANT,FRESNO,93703,4941,FRE,SAN JOAQUIN VALLEY APCD,,,.001229368241320432555492316448491747296528,.00108,.00531,.0352,.0000392,.001106557377049180327868852459016393442623,.00108,36.85453,-119.78946
10,SJV,3269,SJU,CITY OF FRESNO WATER DIVISION,1084 E ANNADALE,FRESNO,93703,4941,FRE,SAN JOAQUIN VALLEY APCD,,,.001229368241320432555492316448491747296528,.00108,.00531,.0352,.0000392,.001106557377049180327868852459016393442623,.00108,36.69931,-119.79776
10,SJV,3270,SJU,CITY OF FRESNO WATER DIVISION,489 S ADLER AVE,FRESNO,93727,4941,FRE,SAN JOAQUIN VALLEY APCD,,,.001229368241320432555492316448491747296528,.00108,.00531,.0352,.0000392,.001106557377049180327868852459016393442623,.00108,36.73764,-119.72491
